Posting Date,Buyer Code,Seller Code,Security,Quantity,Price,Turnover,DEALS,Asset Type,Security Name
2026-06-01,BR10,BR9,BOK,107200.0,570.0,61104000.0,1.0,Equity,Bank of Kigali
2026-06-01,BR9,BR9,BOK,800.0,600.0,480000.0,1.0,Equity,Bank of Kigali
2026-06-01,BR10,BR10,IMR,7200.0,90.0,648000.0,1.0,Equity,I&M Bank Rwanda
2026-06-01,BR9,BR9,IMR,3100.0,90.0,279000.0,1.0,Equity,I&M Bank Rwanda
2026-06-01,BR2,BR10,BLR,100.0,490.0,49000.0,1.0,Equity,Bralirwa
2026-06-01,BR10,BR10,BLR,1400.0,490.0,686000.0,1.0,Equity,Bralirwa
2026-06-01,BR9,BR9,BLR,200.0,490.0,98000.0,1.0,Equity,Bralirwa
2026-06-01,BR9,BR1,EQTY,900.0,900.0,810000.0,1.0,Equity,Equity Group Rwanda
2026-06-01,BR3,BR3,FXD3/13.250%/2039/20YRS,1700000.0,1.0388,1765960.0,1.0,Bond,FXD3/13.250%/2039/20YRS
2026-06-01,BR3,BR3,FXD1/13.290%/2043/20YRS,400000.0,1.048,419200.0,1.0,Bond,FXD1/13.290%/2043/20YRS
2026-06-02,BR10,BR10,FXD6/13.15%/2045/20YRS,10000000.0,1.034,10340000.0,1.0,Bond,FXD6/13.15%/2045/20YRS
2026-06-02,BR10,BR10,FXD5/13.00%/2040/15YRS,100000000.0,1.031,103099999.99999999,1.0,Bond,FXD5/13.00%/2040/15YRS
2026-06-02,BR10,BR10,FXD6/13.15%/2045/20YRS,10000000.0,1.025,10250000.0,1.0,Bond,FXD6/13.15%/2045/20YRS
2026-06-03,BR3,BR3,FXD1/13.290%/2043/20YRS,200000.0,1.06,212000.0,1.0,Bond,FXD1/13.290%/2043/20YRS
2026-06-03,BR9,BR9,FXD1/12.00%/2036/10YRS,130000000.0,1.05,136500000.0,1.0,Bond,FXD1/12.00%/2036/10YRS
2026-06-03,BR10,BR10,FXD6/13.15%/2045/20YRS,2200000.0,1.034,2274800.0,1.0,Bond,FXD6/13.15%/2045/20YRS
2026-06-03,BR10,BR10,FXD5/13.00%/2040/15YRS,525000000.0,1.01,530250000.0,1.0,Bond,FXD5/13.00%/2040/15YRS
2026-06-03,BR4,BR4,FXD5/13.00%/2040/15YRS,10000000.0,1.028,10280000.0,1.0,Bond,FXD5/13.00%/2040/15YRS
2026-06-03,BR9,BR9,FXD5/13.00%/2038/15YRS,325000000.0,1.053,342225000.0,1.0,Bond,FXD5/13.00%/2038/15YRS
2026-06-03,BR9,BR9,FXD4/12.750%/2037/15YRS,94400000.0,1.052,99308800.0,1.0,Bond,FXD4/12.750%/2037/15YRS
2026-06-03,BR10,BR10,FXD1/13.290%/2043/20YRS,300000.0,1.052,315600.0,1.0,Bond,FXD1/13.290%/2043/20YRS
2026-06-03,BR9,BR9,FXD2/12.550%/2035/15YRS,25000000.0,1.051,26275000.0,1.0,Bond,FXD2/12.550%/2035/15YRS
2026-06-03,BR9,BR9,FXD6/13.15%/2040/20YRS,14000000.0,1.0425,14595000.0,1.0,Bond,FXD6/13.15%/2040/20YRS
2026-06-03,BR9,BR10,IMR,3600.0,90.0,324000.0,1.0,Equity,I&M Bank Rwanda
2026-06-03,BR10,BR10,IMR,28700.0,90.0,2583000.0,1.0,Equity,I&M Bank Rwanda
2026-06-03,BR10,BR10,IMR,496900.0,82.0,40745800.0,1.0,Equity,I&M Bank Rwanda
2026-06-03,BR9,BR9,BOK,5400.0,600.0,3240000.0,1.0,Equity,Bank of Kigali
2026-06-03,BR10,BR10,BOK,2100.0,600.0,1260000.0,1.0,Equity,Bank of Kigali
2026-06-03,BR9,BR3,MTNR,4800.0,130.0,624000.0,1.0,Equity,MTN Rwanda
2026-06-03,BR3,BR3,FXD3/12.5%/2036/15YRS,1000000.0,1.03,1030000.0,1.0,Bond,FXD3/12.5%/2036/15YRS
2026-06-04,BR10,BR10,FXD6/13.15%/2045/20YRS,600000.0,1.034,620400.0,1.0,Bond,FXD6/13.15%/2045/20YRS
2026-06-04,BR3,BR3,FXD1/13.150%/2042/20YRS,15000000.0,1.04,15600000.0,1.0,Bond,FXD1/13.150%/2042/20YRS
2026-06-04,BR9,BR3,BLR,2800.0,490.0,1372000.0,1.0,Equity,Bralirwa
2026-06-04,BR3,BR3,BLR,100.0,490.0,49000.0,1.0,Equity,Bralirwa
2026-06-04,BR10,BR9,BOK,3500.0,600.0,2100000.0,1.0,Equity,Bank of Kigali
2026-06-04,BR3,BR9,BOK,100.0,600.0,60000.0,1.0,Equity,Bank of Kigali
2026-06-04,BR9,BR3,MTNR,6600.0,130.0,858000.0,1.0,Equity,MTN Rwanda
2026-06-04,BR10,BR10,MTNR,400.0,130.0,52000.0,1.0,Equity,MTN Rwanda
2026-06-04,BR9,BR9,BOK,3100.0,600.0,1860000.0,1.0,Equity,Bank of Kigali
2026-06-05,BR9,BR9,FXD5/13.00%/2040/15YRS,20000000.0,1.03,20600000.0,1.0,Bond,FXD5/13.00%/2040/15YRS
2026-06-05,BR10,BR9,MTNR,25000.0,130.0,3250000.0,1.0,Equity,MTN Rwanda
2026-06-05,BR10,BR9,BOK,5100.0,600.0,3060000.0,1.0,Equity,Bank of Kigali
2026-06-05,BR9,BR9,BOK,600.0,600.0,360000.0,1.0,Equity,Bank of Kigali
2026-06-05,BR10,BR10,IMR,1100.0,90.0,99000.0,1.0,Equity,I&M Bank Rwanda
2026-06-05,BR10,BR3,BLR,800.0,490.0,392000.0,1.0,Equity,Bralirwa
2026-06-05,BR3,BR3,FXD1/13.150%/2042/20YRS,50000000.0,1.07,53500000.0,1.0,Bond,FXD1/13.150%/2042/20YRS
2026-06-05,BR3,BR3,FXD6/13.15%/2045/20YRS,800000000.0,1.0495,839600000.0000001,1.0,Bond,FXD6/13.15%/2045/20YRS
2026-06-08,BR9,BR9,BOK,1400.0,600.0,840000.0,1.0,Equity,Bank of Kigali
2026-06-08,BR9,BR9,BOK,200000.0,565.0,113000000.0,1.0,Equity,Bank of Kigali
2026-06-09,BR10,BR10,FXD6/13.15%/2045/20YRS,1142000000.0,1.03868,1186172560.0,1.0,Bond,FXD6/13.15%/2045/20YRS
2026-06-09,BR9,BR9,BOK,7000.0,600.0,4200000.0,1.0,Equity,Bank of Kigali
2026-06-09,BR9,BR10,IMR,5000.0,90.0,450000.0,1.0,Equity,I&M Bank Rwanda
2026-06-09,BR9,BR9,FXD8/13.270%/2044/20YRS,420600000.0,1.0821,455131260.0,1.0,Bond,FXD8/13.270%/2044/20YRS
2026-06-09,BR3,BR3,FXD2/12.0%/2029/5YRS,7000000.0,1.0667,7466900.0,1.0,Bond,FXD2/12.0%/2029/5YRS
2026-06-09,BR3,BR3,FXD3/12.5%/2036/15YRS,44600000.0,1.03876,46328695.99999999,1.0,Bond,FXD3/12.5%/2036/15YRS
2026-06-09,BR9,BR9,FXD3/11.50%/2032/7YRS,87000000.0,1.0461,91010700.0,1.0,Bond,FXD3/11.50%/2032/7YRS
2026-06-09,BR3,BR3,FXD2/11.00%/2030/5YRS,32000000.0,1.06363,34036160.0,1.0,Bond,FXD2/11.00%/2030/5YRS
2026-06-09,BR10,BR10,FXD5/13.00%/2040/15YRS,1464800000.0,1.0423,1526761040.0,1.0,Bond,FXD5/13.00%/2040/15YRS
2026-06-09,BR4,BR4,FXD5/13.00%/2040/15YRS,20000000.0,1.0453,20905999.999999996,1.0,Bond,FXD5/13.00%/2040/15YRS
2026-06-10,BR10,BR10,FXD6/13.15%/2045/20YRS,4800000000.0,1.035,4968000000.0,1.0,Bond,FXD6/13.15%/2045/20YRS
2026-06-10,BR3,BR10,FXD6/13.15%/2045/20YRS,1500000000.0,1.04,1560000000.0,1.0,Bond,FXD6/13.15%/2045/20YRS
2026-06-10,BR10,BR10,FXD3/11.50%/2032/7YRS,1818600000.0,1.0623,1931898780.0,1.0,Bond,FXD3/11.50%/2032/7YRS
2026-06-10,BR9,BR9,FXD6/13.15%/2040/20YRS,150000000.0,1.052,157800000.0,1.0,Bond,FXD6/13.15%/2040/20YRS
2026-06-10,BR9,BR9,BOK,1300.0,600.0,780000.0,1.0,Equity,Bank of Kigali
2026-06-10,BR3,BR9,BOK,1700.0,600.0,1020000.0,1.0,Equity,Bank of Kigali
2026-06-10,BR9,BR9,MTNR,2400.0,130.0,312000.0,1.0,Equity,MTN Rwanda
2026-06-10,BR3,BR3,MTNR,5000.0,130.0,650000.0,1.0,Equity,MTN Rwanda
2026-06-10,BR9,BR9,BLR,600.0,490.0,294000.0,1.0,Equity,Bralirwa
2026-06-11,BR9,BR9,BSLB/12.9%/2031/7YRS,100000000.0,1.025,102499999.99999999,1.0,Bond,BSLB/12.9%/2031/7YRS
2026-06-11,BR9,BR9,FXD4/13.000%/2041/20YRS,50000000.0,1.043,52150000.0,1.0,Bond,FXD4/13.000%/2041/20YRS
2026-06-11,BR10,BR10,BLR,500.0,490.0,245000.0,1.0,Equity,Bralirwa
2026-06-11,BR10,BR10,FXD6/13.15%/2045/20YRS,150000000.0,1.04,156000000.0,1.0,Bond,FXD6/13.15%/2045/20YRS
2026-06-11,BR3,BR3,FXD2/12.150%/2032/10YRS,30000000.0,1.05992,31797600.0,1.0,Bond,FXD2/12.150%/2032/10YRS
2026-06-11,BR3,BR3,FXD6/13.15%/2045/20YRS,500000.0,1.035,517499.99999999994,1.0,Bond,FXD6/13.15%/2045/20YRS
2026-06-11,BR3,BR3,FXD3/12.5%/2036/15YRS,499000000.0,1.0401,519009900.0,1.0,Bond,FXD3/12.5%/2036/15YRS
2026-06-11,BR10,BR10,BOK,200.0,600.0,120000.0,1.0,Equity,Bank of Kigali
2026-06-11,BR3,BR3,FXD3/12.983%/2034/10YRS,40000000.0,1.08869,43547600.0,1.0,Bond,FXD3/12.983%/2034/10YRS
2026-06-11,BR10,BR10,IMR,2800.0,90.0,252000.0,1.0,Equity,I&M Bank Rwanda
2026-06-11,BR9,BR9,BOK,3600.0,600.0,2160000.0,1.0,Equity,Bank of Kigali
2026-06-11,BR9,BR9,BOK,66700.0,540.0,36018000.0,1.0,Equity,Bank of Kigali
2026-06-11,BR3,BR3,FXD3/12.9%/2033/15YRS,68400000.0,1.12256,76783104.0,1.0,Bond,FXD3/12.9%/2033/15YRS
2026-06-12,BR10,BR10,FXD6/13.15%/2045/20YRS ,10000000.0,1.035,10350000.0,1.0,Bond,FXD6/13.15%/2045/20YRS 
2026-06-12,BR10,BR10,FXD6/13.15%/2045/20YRS ,255500000.0,1.04,265720000.0,1.0,Bond,FXD6/13.15%/2045/20YRS 
2026-06-12,BR10,BR10,FXD5/13.00%/2040/15YRS,10000000.0,1.015,10149999.999999998,1.0,Bond,FXD5/13.00%/2040/15YRS
2026-06-12,BR10,BR10,IMR,11200.0,90.0,1008000.0,1.0,Equity,I&M Bank Rwanda
2026-06-12,BR2,BR10,IMR,700.0,90.0,63000.0,1.0,Equity,I&M Bank Rwanda
2026-06-12,BR9,BR9,BOK,800.0,600.0,480000.0,1.0,Equity,Bank of Kigali
2026-06-12,BR10,BR10,BOK,300.0,600.0,180000.0,1.0,Equity,Bank of Kigali
2026-06-12,BR2,BR9,BOK,1000.0,600.0,600000.0,1.0,Equity,Bank of Kigali
2026-06-12,BR1,BR9,MTNR,25400.0,130.0,3302000.0,1.0,Equity,MTN Rwanda
2026-06-12,BR10,BR9,MTNR,900.0,130.0,117000.0,1.0,Equity,MTN Rwanda
2026-06-12,BR10,BR9,BOK,13000.0,600.0,7800000.0,1.0,Equity,Bank of Kigali
2026-06-15,BR10,BR10,BSLB/12.85%/2030/7YRS ,500000.0,1.008,504000.0,1.0,Bond,BSLB/12.85%/2030/7YRS 
2026-06-15,BR10,BR10,FXD4/13.000%/2041/20YRS ,100000.0,1.015,101499.99999999999,1.0,Bond,FXD4/13.000%/2041/20YRS 
2026-06-15,BR10,BR10,FXD1/13.150%/2042/20YRS,400000.0,1.02,408000.0,1.0,Bond,FXD1/13.150%/2042/20YRS
2026-06-15,BR9,BR10,FXD6/13.15%/2045/20YRS,65000000.0,1.04,67600000.0,1.0,Bond,FXD6/13.15%/2045/20YRS
